ID,item_cnt_month
0,0.42926282
1,0.18973365
2,0.7772057
3,0.26367098
4,1.0512037
5,0.46160293
6,0.71890813
7,0.1112829
8,1.0644786
9,0.3779447
10,1.2535253
11,0.1112829
12,0.1112829
13,0.35157934
14,1.108329
15,1.2208452
16,0.1112829
17,0.1112829
18,1.0552981
19,0.14951947
20,0.3826841
21,0.1112829
22,0.97871655
23,0.3195834
24,0.95330375
25,0.3632781
26,0.18942878
27,0.40489626
28,0.7534701
29,1.5075834
30,0.5066407
31,0.2437892
32,0.39530784
33,0.64099145
34,0.1112829
35,0.1112829
36,0.1112829
37,0.48414713
38,0.1112829
39,0.1112829
40,0.39369473
41,1.0586344
42,1.3350009
43,1.4172136
44,0.6844899
45,0.1112829
46,0.59629023
47,0.22602102
48,0.29604137
49,0.6522415
50,0.6709248
51,0.25753042
52,0.33859366
53,0.21777163
54,1.4760586
55,1.3490328
56,1.2005757
57,1.1908445
58,1.4707041
59,1.3311623
60,1.5027235
61,0.18886524
62,0.113605455
63,0.2671442
64,1.1451126
65,0.2619002
66,0.36714047
67,0.1112829
68,0.32594258
69,0.1112829
70,0.26189786
71,1.1161013
72,0.1112829
73,1.0640479
74,1.6483397
75,1.636627
76,0.23549342
77,1.2216493
78,0.40893662
79,0.48720807
80,1.0671875
81,1.3425623
82,1.0678227
83,0.20562589
84,1.0679955
85,0.76401037
86,0.4623639
87,0.1112829
88,1.2457803
89,0.6947614
90,0.42154324
91,0.25786084
92,1.1259826
93,0.1112829
94,0.317669
95,0.1112829
96,0.1112829
97,0.26962423
98,0.4634068
99,1.1132371
100,0.73800075
101,0.42403162
102,0.20553605
103,1.0791901
104,0.1112829
105,0.3614111
106,0.27806985
107,0.5583208
108,0.1112829
109,0.18997374
110,0.21365014
111,0.26318848
112,0.2371685
113,0.33086425
114,0.1112829
115,0.21339154
116,0.26920417
117,0.1112829
118,2.3630764
119,0.1112829
120,0.1112829
121,0.1112829
122,0.20289427
123,0.28148192
124,0.27626437
125,0.6074794
126,0.1112829
127,0.1112829
128,0.2170358
129,0.1112829
130,0.3384956
131,0.1112829
132,1.0995055
133,1.5377421
134,0.1112829
135,1.0806292
136,0.2480967
137,0.14160901
138,0.63790387
139,0.26476833
140,0.1112829
141,0.26288414
142,0.1112829
143,0.2633844
144,0.1112829
145,0.1112829
146,0.1112829
147,0.1112829
148,0.18845049
149,0.1112829
150,0.1112829
151,0.2755772
152,1.8080858
153,0.12743104
154,0.1112829
155,0.1112829
156,0.20570554
157,0.24059105
158,0.1112829
159,0.12221349
160,0.44173628
161,0.1112829
162,0.34403217
163,0.41783816
164,0.26235014
165,0.1112829
166,0.24699754
167,0.1112829
168,0.18148318
169,0.1112829
170,0.1112829
171,0.43839645
172,0.1112829
173,1.0820338
174,1.0799578
175,1.1638037
176,1.039729
177,0.25910708
178,0.12767185
179,0.1112829
180,1.129826
181,0.1112829
182,0.1112829
183,0.1112829
184,0.1112829
185,0.1112829
186,0.1112829
187,0.1112829
188,0.18870813
189,0.18870875
190,0.15868369
191,0.38605252
192,0.39179754
193,0.1112829
194,0.1112829
195,0.1112829
196,0.38557726
197,1.2271936
198,0.74666846
199,1.0566314
200,0.1112829
201,1.0566317
202,0.1112829
203,1.0581638
204,0.1112829
205,0.26305148
206,0.26305443
207,0.1112829
208,0.9888069
209,0.30813098
210,0.1112829
211,0.1112829
212,0.1112829
213,0.22041547
214,0.1112829
215,0.1112829
216,0.23373446
217,0.1112829
218,1.1080208
219,0.47656965
220,0.16985725
221,1.0677637
222,1.2105503
223,0.49293232
224,1.1808571
225,0.26495123
226,0.32246295
227,0.1112829
228,0.1112829
229,0.1112829
230,1.4842846
231,0.3635488
232,0.1112829
233,0.1112829
234,0.1112829
235,0.1112829
236,0.26429817
237,0.45357144
238,0.2237067
239,0.1112829
240,0.26728868
241,0.1112829
242,0.1112829
243,1.3982787
244,0.1895487
245,0.1112829
246,0.9148793
247,0.331154
248,0.34725332
249,0.1112829
250,0.3399193
251,0.21576671
252,0.3177144
253,0.83134955
254,0.29121608
255,1.8126231
256,0.37428564
257,0.18018556
258,0.32777923
259,0.1112829
260,0.1112829
261,0.1112829
262,0.18259525
263,0.1112829
264,0.1112829
265,0.33850372
266,0.1112829
267,0.1112829
268,0.26319402
269,0.1112829
270,0.7661917
271,0.1112829
272,0.1112829
273,0.6481547
274,3.296689
275,0.1112829
276,0.1112829
277,0.73853445
278,0.24004504
279,0.2471608
280,0.1112829
281,0.1112829
282,0.1112829
283,0.27161235
284,0.21274458
285,0.1112829
286,0.1112829
287,0.38990217
288,0.1112829
289,0.1112829
290,0.1112829
291,0.1112829
292,0.26500884
293,0.1112829
294,0.32880604
295,0.73475534
296,0.22250469
297,0.1112829
298,0.26490307
299,0.21369283
300,0.1112829
301,0.42581064
302,0.5624869
303,0.32123876
304,0.1112829
305,0.1112829
306,0.1112829
307,0.1112829
308,0.1112829
309,0.29662734
310,0.3226443
311,0.34053516
312,0.38393512
313,0.19312158
314,0.1112829
315,0.4120441
316,0.1112829
317,1.2603117
318,0.1112829
319,0.1112829
320,0.26681653
321,0.1112829
322,0.4452266
323,0.1112829
324,0.32502496
325,0.31803715
326,0.1112829
327,0.1112829
328,0.1112829
329,0.1112829
330,0.1112829
331,0.1112829
332,0.1112829
333,0.1112829
334,0.42163187
335,0.13241187
336,0.1112829
337,0.32445335
338,0.1112829
339,0.33980888
340,0.1112829
341,0.1112829
342,0.2567212
343,0.5273579
344,0.1112829
345,0.1112829
346,1.4760748
347,1.1701834
348,0.1112829
349,0.25086927
350,0.1112829
351,0.31646106
352,0.1112829
353,0.1112829
354,0.1112829
355,0.26312613
356,0.2647859
357,0.67509574
358,0.25182855
359,0.26371786
360,0.26507044
361,1.4778459
362,0.3100233
363,0.5478437
364,0.33766192
365,0.35374004
366,0.26440668
367,0.1112829
368,0.1112829
369,0.26498252
370,0.1112829
371,0.7408365
372,0.47894478
373,0.1112829
374,1.0738801
375,1.1443768
376,0.32280415
377,0.1112829
378,0.26435375
379,0.1112829
380,1.3126361
381,0.26512286
382,0.26386184
383,0.1112829
384,1.0910627
385,0.16555212
386,0.32383752
387,0.46039766
388,0.1112829
389,0.1112829
390,0.1112829
391,0.12960558
392,0.1112829
393,0.4931944
394,0.1112829
395,0.1112829
396,1.0931947
397,0.38976502
398,0.1112829
399,0.1112829
400,0.2857846
401,0.24041134
402,1.1320922
403,1.4589207
404,0.45668644
405,0.1112829
406,0.23966995
407,0.1112829
408,0.1112829
409,1.202038
410,0.1628941
411,0.7379391
